,user_id,timestamp,modified_location,diff,siguiente_link,leisure,work,fit,highlight,body-shape,eyes,hair,sizes,measurements,focus,adventurous,styles,prices,avoid,footwear,you,photos,register,parte_quiz
25,28,2023-04-10 13:31:32.890806,https://lookiero/user/quiz/measurements,0 days 00:00:19.586124,https://lookiero/user/quiz/focus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,measurements
26,28,2023-04-10 13:31:52.476930,https://lookiero/user/quiz/focus,0 days 00:00:05.774772,https://lookiero/user/quiz/adventurous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,focus
27,28,2023-04-10 13:31:58.251702,https://lookiero/user/quiz/adventurous,0 days 00:00:21.485350,https://lookiero/user/quiz/prices,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,adventurous
28,28,2023-04-10 13:32:19.737052,https://lookiero/user/quiz/prices,0 days 00:00:07.193340,https://lookiero/user/quiz/footwear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prices
29,28,2023-04-10 13:32:26.930392,https://lookiero/user/quiz/footwear,0 days 00:00:24.215384,https://lookiero/user/quiz/you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,footwear
30,28,2023-04-10 13:32:51.145776,https://lookiero/user/quiz/you,0 days 00:00:13.453236,https://lookiero/user/quiz/photos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,you
31,28,2023-04-10 13:33:04.599012,https://lookiero/user/quiz/photos,0 days 00:00:06.707709,https://lookiero/user/quiz/register,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,photos
32,28,2023-04-10 13:33:11.306721,https://lookiero/user/quiz/register,,https://lookiero/user/quiz/work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,register
33,44,2023-06-29 14:49:28.946444,https://lookiero/user/quiz/work,0 days 00:00:05.009087,https://lookiero/user/quiz/fit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,work
34,44,2023-06-29 14:49:33.955531,https://lookiero/user/quiz/fit,0 days 00:00:05.307797,https://lookiero/user/quiz/body-shape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fit
35,44,2023-06-29 14:49:39.263328,https://lookiero/user/quiz/body-shape,0 days 00:00:13.589370,https://lookiero/user/quiz/hair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,body-shape
36,44,2023-06-29 14:49:52.852698,https://lookiero/user/quiz/hair,0 days 00:00:08.604089,https://lookiero/user/quiz/measurements,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,hair
37,44,2023-06-29 14:50:01.456787,https://lookiero/user/quiz/measurements,0 days 00:00:06.333897,https://lookiero/user/quiz/focus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,measurements
38,44,2023-06-29 14:50:07.790684,https://lookiero/user/quiz/focus,0 days 00:00:06.975484,https://lookiero/user/quiz/footwear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,focus
